001,009 ,Intestinal infectious diseases
730,739 ,Osteopathies chondropathies and acquired musculoskeletal deformities
740,759 ,Congenital anomalies
760,763 ,Maternal causes of perinatal morbidity and mortality
764,779 ,Other conditions originating in the perinatal period
780,789 ,Symptoms
790,796 ,Nonspecific abnormal findings
797,799 ,Ill-defined and unknown causes of morbidity and mortality
800,804 ,Fracture of skull
805,809 ,Fracture of neck and trunk
810,819 ,Fracture of upper limb
820,829 ,Fracture of lower limb
830,839 ,Dislocation
840,848 ,Sprains and strains of joints and adjacent muscles
850,854 ,Intracranial injury excluding those with skull fracture
860,869 ,Internal injury of chest abdomen and pelvis
870,879 ,Open wound of head neck and trunk
880,887 ,Open wound of upper limb
890,897 ,Open wound of lower limb
900,904 ,Injury to blood vessels
905,909 ,Late effects of injuries poisonings toxic effects and other external causes
910,919 ,Superficial injury
920,924 ,Contusion with intact skin surface
925,929 ,Crushing injury
930,939 ,Effects of foreign body entering through orifice
940,949 ,Burns
950,957 ,Injury to nerves and spinal cord
958,959 ,Certain traumatic complications and unspecified injuries
960,979 ,Poisoning by drugs medicaments and biological substances
980,989 ,Toxic effects of substances chiefly nonmedicinal as to source
990,995 ,Other and unspecified effects of external causes
996,999 ,Complications of surgical and medical care not elsewhere classified
E800,E807 ,Railway accidents
E810,E819 ,Motor vehicle traffic accidents
E820,E825 ,Motor vehicle nontraffic accidents
E826,E829 ,Other road vehicle accidents
E830,E838 ,Water transport accidents
E840,E845 ,Air and space transport accidents
E846,E848 ,Vehicle accidents not elsewhere classifiable
E849,E858 ,Accidental poisoning by drugs medicaments and biologicals
E860,E869 ,Accidental poisoning by other solid and liquid substances gases and vapours
E870,E876 ,Misadventures to patients during surgical and medical care
E878,E879 ,Surgical and medical procedures as the cause of abnormal reaction of patient or later complication without mention of misadventure at the time of procedure
E880,E888 ,Accidental falls
E890,E899 ,Accidents caused by fire and flames
E900,E909 ,Accidents due to natural and environmental factors
E910,E915 ,Accidents caused by submersion suffocation and foreign bodies
E916,E928 ,Other accidents
E929,E929 ,Late effects of accidental injury
E930,E949 ,Drugs medicaments and biological substances causing adverse effects in therapeutic use
E950,E959 ,Suicide and self-inflicted injury
E960,E969 ,Homicide and injury purposely inflicted by other persons
E970,E978 ,Legal intervention
E980,E989 ,Injury undetermined whether accidentally or purposely inflicted
E990,E999 ,Injury resulting from operations of war
V01,V09 ,Persons with potential health hazards related to communicable diseases
V10,V19 ,Persons with potential health hazards related to personal and family history
V20,V29 ,Persons encountering health services in circumstances related to reproduction and development
V30,V39 ,Healthy liveborn infants according to type of birth
V40,V49 ,Persons with a condition influencing their health status
V50,V59 ,Persons encountering health services for specific procedures and aftercare
V60,V69 ,Persons encountering health services in other circumstances
V70,V82 ,Persons without reported diagnosis encountered during examination and investigation of individuals and populations
